Año;mes;trim;fecha;subclase-desc;subclase-cod;indice2018;indice2022
2017;4;2;abr-17;IPC-total;;95,91;0,761009284
2017;5;2;may-17;IPC-total;;96,12;0,762675553
2017;6;2;jun-17;IPC-total;;96,23;0,763548362
2017;7;3;jul-17;IPC-total;;96,18;0,763151631
2017;8;3;ago-17;IPC-total;;96,32;0,764262477
2017;9;3;sep-17;IPC-total;;96,36;0,764579862
2017;10;4;oct-17;IPC-total;;96,37;0,764659208
2017;11;4;nov-17;IPC-total;;96,55;0,766087439
2017;12;4;dic-17;IPC-total;;96,92;0,769023248
2018;1;1;ene-18;IPC-total;;97,53;0,773863366
2018;2;1;feb-18;IPC-total;;98,22;0,779338253
2018;3;1;mar-18;IPC-total;;98,45;0,781163215
2018;4;2;abr-18;IPC-total;;98,91;0,78481314
2018;5;2;may-18;IPC-total;;99,16;0,786796794
2018;6;2;jun-18;IPC-total;;99,31;0,787986987
2018;7;3;jul-18;IPC-total;;99,18;0,786955487
2018;8;3;ago-18;IPC-total;;99,30;0,787907641
2018;9;3;sep-18;IPC-total;;99,47;0,789256526
2018;10;4;oct-18;IPC-total;;99,59;0,79020868
2018;11;4;nov-18;IPC-total;;99,70;0,791081489
2018;12;4;dic-18;IPC-total;;100,00;0,793461874
2019;1;1;ene-19;IPC-total;;100,60;0,798222645
2019;2;1;feb-19;IPC-total;;101,18;0,802824724
2019;3;1;mar-19;IPC-total;;101,62;0,806315957
2019;4;2;abr-19;IPC-total;;102,12;0,810283266
2019;5;2;may-19;IPC-total;;102,44;0,812822344
